premises,expiration,licensee,type,second_location,street_address,city,county,state,zip
49941,2016-06-30,SHORYUKEN LEAGUE LLC,F-COM,,881 WILLAMETTE ST,EUGENE,LANE,OR,97401
46923,2016-06-30,SAM'S UPTOWN LLC,F-COM,,1680 COBURG RD #108,EUGENE,LANE,OR,97401
46923,2016-06-30,SAM'S UPTOWN LLC,O,,1680 COBURG RD #108,EUGENE,LANE,OR,97401
36796,2016-06-30,77 BROADWAY LLC,F-COM,,77 W BROADWAY,EUGENE,LANE,OR,97401
46582,2016-06-30,SIXTEEN TONS LLC,L,,265 E 13TH AVE,EUGENE,LANE,OR,97401
46582,2016-06-30,SIXTEEN TONS LLC,O,,265 E 13TH AVE,EUGENE,LANE,OR,97401
15632,2016-06-30,CAVALIER PRODUCTIONS INC,F-COM,,55 W SIXTH AVE,EUGENE,LANE,OR,97401
51244,2016-06-30,NICE TIE DYE LLC,O,,910 WILLAMETTE ST,EUGENE,LANE,OR,97401
51245,2016-06-30,NICE TIE DYE LLC,F-COM,,910 WILLAMETTE ST,EUGENE,LANE,OR,97401
49521,2016-06-30,MW STERN INC,F-COM,,525 HIGH ST,EUGENE,LANE,OR,97401
27014,2016-06-30,BRYON SNYDER,O,,66 W 10TH AVE,EUGENE,LANE,OR,97401
20202,2016-06-30,MCKENZIE BREWING CO,F-COM,,199 E 5TH AVE,EUGENE,LANE,OR,97401
20202,2016-06-30,MCKENZIE BREWING CO,BP,,199 E 5TH AVE,EUGENE,LANE,OR,97401
36913,2016-06-30,SHASTA INVESTMENTS LLC,F-COM,,199 E 5TH AVE #7-9,EUGENE,LANE,OR,97401
21569,2016-06-30,JOONIM LLC,F-COM,,5 E 8TH AVE,EUGENE,LANE,OR,97401
41638,2016-06-30,MAX STABIN,L,,1219 ALDER ST,EUGENE,LANE,OR,97401
38809,2016-06-30,CHOUNE INCORPORATED,F-COM,,941 & 949 PEARL ST,EUGENE,LANE,OR,97401
35426,2016-06-30,TARARIN THAI CUISINE INC,F-COM,,1200 OAK ST,EUGENE,LANE,OR,97401
9390,2016-06-30,CHARLES HARE ENTERPRISES INC,F-COM,,894 E 13TH AVE,EUGENE,LANE,OR,97401
51910,2016-06-30,TEXAS ROADHOUSE HOLDINGS LLC,F-COM,,1060 VALLEY RIVER WAY,EUGENE,LANE,OR,97401
50399,2016-06-30,THE BARN LIGHT LLC,F-COM,,924 WILLAMETTE ST,EUGENE,LANE,OR,97401
50975,2016-06-30,THE BIER STEIN BOTTLESHOP AND PUB LLC,L,,1591 WILLAMETTE ST,EUGENE,LANE,OR,97401
50974,2016-06-30,THE BIER STEIN BOTTLESHOP AND PUB LLC,O,,1591 WILLAMETTE ST,EUGENE,LANE,OR,97401
35393,2016-06-30,GAKK INC,F-COM,,50 E 11TH AVE,EUGENE,LANE,OR,97401
23089,2016-06-30,INNGROUP LLC,F-COM,,252 PEARL ST,EUGENE,LANE,OR,97401
39319,2016-06-30,THE CANNERY OF EUGENE LLC,O,,345 E 11TH AVE,EUGENE,LANE,OR,97401
39320,2016-06-30,THE CANNERY OF EUGENE LLC,F-COM,,345 E 11TH AVE,EUGENE,LANE,OR,97401
4692,2016-06-30,BLUE MONKEY LLC,F-COM,,20 CENTENNIAL LOOP,EUGENE,LANE,OR,97401
4692,2016-06-30,BLUE MONKEY LLC,L,,20 CENTENNIAL LOOP,EUGENE,LANE,OR,97401
15568,2016-06-30,DAC INC,F-COM,,999 WILLAMETTE ST,EUGENE,LANE,OR,97401
51736,2016-06-30,THE GROWLER GUYS EUGENE LLC,L,,472 W 7TH AVE #5,EUGENE,LANE,OR,97401
28708,2016-06-30,THE HORSEHEAD INC,F-COM,,99 W BROADWAY,EUGENE,LANE,OR,97401
48043,2016-06-30,WILLAMETTE JAZZ SOCIETY,L,,124 W BROADWAY,EUGENE,LANE,OR,97401
37137,2016-06-30,THE JOHN G SHEDD INSTITUTE FOR THE ARTS,O,,868 HIGH ST,EUGENE,LANE,OR,97401
37137,2016-06-30,THE JOHN G SHEDD INSTITUTE FOR THE ARTS,F-PL,,868 HIGH ST,EUGENE,LANE,OR,97401
44865,2016-06-30,THE KEYSTONE GROUP LLC,F-COM,,395 W 5TH AVE,EUGENE,LANE,OR,97401
4568,2016-06-30,THE KIVA CORPORATION,O,,125 W 11TH AVE,EUGENE,LANE,OR,97401
36955,2016-06-30,KESEY ENTERPRISES INC,F-PL,,1010 WILLAMETTE ST,EUGENE,LANE,OR,97401
20415,2016-06-30,GMRI INC,F-COM,,1077 VALLEY RIVER DR,EUGENE,LANE,OR,97401
52360,2016-06-30,SCOTT SUNDERLAND,O,,1520 COBURG RD,EUGENE,LANE,OR,97401
38693,2016-06-30,THE STARLIGHT INC,F-COM,,830 OLIVE ST,EUGENE,LANE,OR,97401
49074,2016-06-30,MANGO'S LLC,F-COM,,839 E 13TH AVE,EUGENE,LANE,OR,97401
45885,2016-06-30,TJ INC,O,,99 W BROADWAY SUITE C,EUGENE,LANE,OR,97401
51553,2016-06-30,SEIJIN LLC,L,,1733 PEARL ST SUITE C,EUGENE,LANE,OR,97401
50769,2016-06-30,MIZPAH LLC,L,,201 W BROADWAY,EUGENE,LANE,OR,97401
27635,2016-06-30,TRADER JOE'S CO,O,,85 OAKWAY CENTER,EUGENE,LANE,OR,97401
37501,2016-06-30,UNIVERSITY OF ORE DEPT OF INTERCOLLEGIATE ATHLETICS,F-CAT,,2700 MLK JR BLVD,EUGENE,LANE,OR,97401
52284,2016-06-30,REGAL CINEMAS INC,L,,500 VALLEY RIVER CENTER,EUGENE,LANE,OR,97401
3680,2016-06-30,DESTINATION EUGENE MANAGEMENT INC,O,,1000 VALLEY RIVER WY,EUGENE,LANE,OR,97401
3680,2016-06-30,DESTINATION EUGENE MANAGEMENT INC,F-COM,,1000 VALLEY RIVER WY,EUGENE,LANE,OR,97401
49931,2016-06-30,VERO ESPRESSO HOUSE INC,L,,205 E 14TH AVE,EUGENE,LANE,OR,97401
26375,2016-06-30,C N J MANAGEMENT LLC,L,,4820 GOODPASTURE LOOP,EUGENE,LANE,OR,97401
26375,2016-06-30,C N J MANAGEMENT LLC,O,,4820 GOODPASTURE LOOP,EUGENE,LANE,OR,97401
21441,2016-06-30,MARJORIE DEBUSE,WMBW,,556B CHARNELTON ST,EUGENE,LANE,OR,97401
46066,2016-06-30,WALGREEN CO,O,,1675 COBURG RD,EUGENE,LANE,OR,97401
